Inventory,,,Adair,Adams ,Allamakee ,Appanoose ,Audubon ,Benton ,Black Hawk ,Boone,Bremer ,Buchanan ,Buena Vista ,Butler,Calhoun ,Carroll ,Cass,Cedar,Cerro Gordo ,Cherokee ,Chickasaw ,Clarke,Clay,Clayton ,Clinton ,Crawford ,Dallas ,Davis,Decatur ,Delaware ,Des Moines ,Dickinson ,Dubuque ,Emmet ,Fayette ,Floyd,Franklin ,Fremont ,Greene ,Grundy ,Guthrie ,Hamilton ,Hancock ,Hardin ,Harrison ,Henry,Howard ,Humboldt ,Ida,Iowa County ,Jackson County,Jasper County,Jefferson County,Johnson County,Jones County,Keokuk County,Kossuth County,Lee County,Linn County,Louisa County,Lucas County,Lyon County,Madison County,Mahaska County,Marion County,Marshall County,Mills County,Mitchell County,Monona County,Monroe County,Montgomery County ,Muscatine County,O'Brien County,Osceola County,Page County,Palo Alto County,Plymouth County,Pocahontas County,Polk County,Pottawattamie County,Poweshiek County,Ringgold County,Sac County,Scott County,Shelby County,Sioux County,Story County,Tama County,Taylor County,Union County,Van Buren County,Wapello County,Warren County,Washington County,Wayne County,Webster County,Winnebago County,Winneshiek County,Woodbury County,Worth County,Wright County,Total
Total hogs and pigs-Farms,,,21,20,49,11,49,64,82,50,66,128,107,73,88,171,17,79,41,107,66,24,82,105,46,114,30,40,15,189,23,8,87,37,71,55,110,7,67,56,38,68,85,98,22,43,54,26,43,48,40,73,32,77,57,70,136,48,48,49,24,247,19,85,23,63,10,96,12,8,12,47,148,97,17,80,225,51,16,41,27,25,102,45,49,413,54,51,16,25,28,25,22,161,14,55,37,77,42,30,37,6266
Total hogs and pigs-Number,,,36392,56794,107184,D,294362,140678,240800,135403,193373,372762,438072,374395,359106,557905,47681,200665,131340,282516,228587,85338,181608,261084,56615,315477,57290,156486,55105,363437,28114,43216,137271,191652,254042,163235,549493,15402,202217,199917,129205,647537,370569,720009,32787,68285,197113,155641,143381,115777,42711,209509,39124,127168,70382,241012,609437,73620,88708,209571,38037,726730,34334,301296,26763,181741,D,224241,16148,D,D,98300,497223,334938,18802,464236,744433,238701,5475,82575,87330,96204,432045,168995,104625,1176751,77182,93899,76920,105023,89639,36338,10020,986774,9810,185596,154047,125008,40421,54765,483790,20455666
Farms by Inventory,1--24,Farms,5,3,9,6,3,8,0,7,17,17,1,8,6,4,3,12,5,1,7,9,15,21,10,10,4,12,3,14,6,0,3,3,9,3,4,1,7,1,1,4,6,11,0,7,16,0,0,10,6,10,8,11,11,3,4,10,12,5,15,9,8,2,9,1,3,20,3,2,5,7,4,1,4,2,11,2,11,5,9,5,7,10,1,5,13,10,4,4,15,6,11,11,6,8,6,10,9,5,7,678
,,Number,65,36,45,37,D,41,0,69,85,125,D,32,D,18,10,D,30,D,42,D,64,D,D,D,33,70,15,D,D,0,D,10,D,15,18,D,43,D,D,D,D,D,0,D,98,0,0,D,D,D,93,104,142,D,16,86,D,D,D,88,D,D,D,D,40,169,12,D,44,31,D,D,49,D,41,D,99,27,D,38,69,D,D,12,D,66,14,35,70,40,135,D,D,50,D,80,D,30,D,5082
,25-49,Farms,3,1,2,0,0,5,1,2,0,3,0,4,1,2,1,1,0,4,2,5,0,3,7,2,2,7,1,1,1,0,2,2,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,4,5,1,1,3,3,2,1,2,2,0,0,2,2,1,2,0,1,3,1,1,3,0,0,0,0,1,1,1,0,4,0,2,5,0,0,4,1,1,0,0,0,0,2,2,6,0,0,1,1,0,0,144
,,Number,99,D,D,0,0,149,D,D,0,D,0,115,D,D,D,D,0,132,D,192,0,138,242,D,D,245,D,D,D,0,D,D,D,0,0,0,D,0,0,0,D,92,0,0,D,0,0,110,145,D,D,103,D,D,D,D,D,0,0,D,D,D,D,0,D,90,D,D,75,0,0,0,0,D,D,D,0,138,0,D,156,0,0,D,D,D,0,0,0,0,D,D,174,0,0,D,D,0,0,4910
,50-99,Farms,0,0,1,1,0,4,1,2,0,1,1,5,0,2,1,3,2,0,4,4,2,2,5,9,1,1,0,6,1,0,0,0,0,1,3,0,2,0,0,0,1,2,2,2,2,3,0,1,1,3,2,5,3,0,2,0,0,1,1,1,1,2,0,1,2,5,0,0,0,11,0,0,0,0,2,2,0,5,0,2,0,2,1,1,1,2,1,0,1,0,1,0,0,1,0,6,5,3,4,160
,,Number,0,0,D,D,0,289,D,D,0,D,D,319,0,D,D,249,D,0,331,268,D,D,313,683,D,D,0,488,D,0,0,0,0,D,217,0,D,0,0,0,D,D,D,D,D,227,0,D,D,230,D,403,170,0,D,0,0,D,D,D,D,D,0,D,D,340,0,0,0,828,0,0,0,0,D,D,0,360,0,D,0,D,D,D,D,D,D,0,D,0,D,0,0,D,0,496,345,D,304,11581
,100-199,Farms,8,0,0,0,1,3,2,1,0,0,0,5,1,3,3,3,1,2,1,1,0,3,3,3,4,2,0,5,0,0,5,0,4,1,1,1,0,1,4,3,0,0,6,0,0,0,3,0,3,1,2,9,1,6,12,1,5,0,1,1,1,2,0,2,1,12,0,3,0,3,1,6,0,1,3,1,0,0,2,0,0,4,2,3,3,0,1,0,0,4,1,3,0,2,2,2,4,1,1,197
,,Number,D,0,0,0,D,393,D,D,0,0,0,724,D,423,408,312,D,D,D,D,0,429,380,420,629,D,0,678,0,0,584,0,524,D,D,D,0,D,D,505,0,0,820,0,0,0,452,0,430,D,D,1373,D,881,1692,D,770,0,D,D,D,D,0,D,D,1908,0,480,0,329,D,D,0,D,380,D,0,0,D,0,0,472,D,410,380,0,D,0,0,D,D,455,0,D,D,D,586,D,D,27911
